제목,개요,효과,썸네일,난이도,자세분류,부위
전신 운동,전신 운동은 시간이 없는 바쁜 사람들에게 빠르고 아주 효과적인 체력 강화 및 다이어트 운동법이다. 전신 운동은 우리 몸의 큰 근육들을 한 동작으로 모두 움직이게 하여 짧은 시간 안에 많은 칼로리를 소모시키고 근지구력과 심혈관 계통에 도움을 주는 동작들이다. 유산소 운동과 근력 운동 두 가지 효과를 한 번에 얻고 싶다면 전신 운동을 추천한다.,,,,,전신
,,,,,,
레그 레이즈 - 행잉,하복부의 단련을 위해 실시하는 강도가 높은 운동 방법 중 하나이다. 몸 전체가 매달려 있는 상태이기 때문에 몸의 균형을 유지하는 것이 중요하다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140506117_JO94358LU.jpg/WEIGHT_089_pic_1.jpg?type=w492_fst&wm=N,상급,,복부
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
멀티힙,힙 주변 근육을 다양하게 운동할 수 있는 최적의 장비이다. 다리를 앞뒤로 또는 좌우로 운동하면 하복부와 힙 주변을 탄력 있게 만들 수 있는 효과적인 운동이다. 특히 여성에게 추천되는 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140549892_6QLTA5T9X.jpg/WEIGHT_108_pic_1.jpg?type=w492_fst&wm=N,초급,,허벅지 뒤
,,,,,,
사이드 런지,"허벅지를 비롯한 다리 근육을 발달시키는 동시에 유산소 운동의 효과도 볼 수 있는 운동이다. 심박수를 증가시켜 심폐지구력 및 다리의 근지구력을 키우는 데 효과적이다. 하체 비만인 경우, 횟수를 늘려 실시하면, 다리의 지방을 빠른 시간 내에 없앨 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111052924_OOAZDIC63.jpg/WEIGHT_139_pic_1.jpg?type=w492_fst&wm=N,초급,,허벅지 앞
,,,,,,
,,,,,,
,,,,,,
허벅지 앞 운동,"허벅지, 곧 대퇴부는 전면에 네 가지 근육, 곧 대퇴직근, 내측광근, 외측광근 ,중간광근이 있기 때문에 이들을 통틀어 보통 대퇴사두근이라고 한다. 대퇴사두근의 대표적인 고립 운동으로는 레그 익스텐션, 바벨 스쿼트, 덤벨 스쿼트, 레그 프레스, 바벨 런지, 덤벨 스텝업 등이 있다.건강한 다리는 우리의 몸을 지탱하는 데 큰 역할을 한다. 특히 무릎이 좋지 않은 경우 반드시 단련시켜야 할 부위가 허벅지이기도 하다.",,,,,허벅지 앞
,,,,,,
크런치 - 케이블,체중을 이용해 부하를 주는 크런치와 달리 케이블의 저항을 이용해 상복부를 단련시킬 수 있는 운동이다. 동작 간 일정한 저항이 지속적으로 주어지는 케이블의 특성을 이용한 운동으로 동작이 끝날 때까지 복근의 힘을 유지할 수 있는 장점이 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140500499_EWR4SOU37.jpg/WEIGHT_086_pic_1.jpg?type=w492_fst&wm=N,초급,,복부
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
등 운동,"등은 크게 네 가지 근육으로 구성되어 있다. 등에서 가장 넓은 면적을 차지하고 있는 광배근 그리고 광배근보다 조금 더 깊은 곳에 중간 승모근과 하부 승모근이 있으며, 날개뼈 안쪽에 능형근이 자리한다. 광배근은 위에서 아래로 잡아당기는 동작, 중간 승모근은 팔을 펴서 수평으로 뒤로 당기는 동작, 하부 승모근은 팔을 45도 위로 올리는 동작, 능형근은  앞쪽에서 뒤로 잡아당기는 동작에 작용한다.등 전체 운동에는 전신 운동으로 대표적인 파워 리프팅 운동인 데드리프트가 있으며, 바벨만이 아니라 덤벨로도 데드리프트를 실시할 수 있고, 이밖에도 굿모닝, 백 익스텐션 운동 등이 있다. 광배근를 공략하기 위한 운동으로는 풀업 또는 어시스트 풀업과 머신 랫 풀 다운이 있다. 그립에 따라 작용하는 근육의 차이가 있는데 그립을 좁게 잡게 되면 능형근에 조금 더 작용하게 된다. 능형근을 공략하기 위한 운동으로는 대표적으로 바벨을 이용한 벤트 오버 바벨 로우가 있으며, 기구를 이용한 운동에는 시티드 케이블 로우, 티바 로우, 덤벨을 이용한 운동에는 벤트 오버 덤벨 로우, 원 암 덤벨 로우 등이 있으며, 케이블을 이용한 시티드 케이블 로우 등이 있다. 중간 승모근를 공략하기 위한 운동에는 기구나 케이블을 이용한 리버스 플라이 등이 있다.",,,,,등
,,,,,,
콘센트레이션 컬 - 덤벨,상완이두근을 집중적으로 발달시키는 운동이다. 천천히 실시하는 것이 매우 중요하며 상완이두근의 중간 부위를 돋보이게 하는 데 효과적이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140336047_B1DDWHVKA.jpg/WEIGHT_054_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
푸시업 사이드 점프,"상체 근력을 키워주면서 동시에 체지방 연소에 효과적인 운동이다. 푸시업 동작을 통해 상체의 근력을 강화하고, 점프 동작으로 칼로리 소모를 높이는 효과가 있다. 상체가 비만한 경우, 상체 근육 운동 후 이 동작을 실시하면 체지방을 빠른 시간 내에 없앨 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111037682_TATTPC12B.jpg/WEIGHT_138_pic_1.jpg?type=w492_fst&wm=N,중급,,가슴
,,,,,,
슈퍼맨 등 운동,허리와 엉덩이를 중심으로 전신 후면의 근육을 자극하여 탄력적인 뒷모습을 만들어 주는 동작이다. 근육의 긴장감을 유지하며 반복횟수를 늘리면 유산소성 운동 효과까지 가미되어 일석이조의 효과를 볼 수 있다. 등 운동이나 다리 후면 운동을 실시한 다음 이 동작을 해주면 그 효과가 배가된다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111228015_H2V6ANNGD.jpg/WEIGHT_146_pic_1.jpg?type=w492_fst&wm=N,초급,,등
,,,,,,
니업 - 시티드,브이업 동작에서 상체 동작을 배제한 것으로 이해하면 된다. 벤치에 앉아서 실시하는 동작으로 팔로 상체를 지지한 상태에서 다리를 가슴 쪽으로 끌어당겨 하복부를 발달시킨다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140511414_6YSL3ORJD.jpg/WEIGHT_091_pic_1.jpg?type=w492_fst&wm=N,초급,,복부
,,,,,,
데드리프트 - 바벨,"둔근, 대퇴 후면 근육 등 전신 근육 발달에 중요한 영향을 끼치는 운동이다. 신체의 파워를 기를 수 있고, 몸통을 둘러싸고 있는 근육들의 근력을 전반적으로 향상시킬 수 있는 운동이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140443171_OZJ93AA0F.jpg/WEIGHT_079_pic_1.jpg?type=w492_fst&wm=N,중급,,허리
,,,,,,
잔발 뛰기,"잔걸음으로 빠르게 뛰는 동작으로, 칼로리 소모가 매우 높은 운동이며, 종아리 라인을 다듬는 데도 도움이 된다. 더 많은 칼로리 소모를 원한다면 더 빠른 속도로 동작을 실시한다. 동작이 익숙해진 후에는 앞뒤로 움직이며 강도를 올릴 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110857613_IBZH7XZLB.jpg/WEIGHT_129_pic_1.jpg?type=w492_fst&wm=N,초급,,전신
,,,,,,
위팔 앞 운동,"팔 윗부분 앞쪽에 있는 이두근은 근육의 머릿 부분이 두 갈래로 나뉘어져 있어 이렇게 이름 붙여졌으며, 주로 팔꿈치를 축으로 팔을 굽히는 작용을 한다. 운동법에 따라 이두근 안쪽과 바깥쪽을 각각 개별적으로 단련할 수 있다.주로 바벨을 이용한 운동에는 바벨 컬, 리버스 바벨 컬, 이지바 컬 등이 있다. 그립을 넓게 잡느냐 좁게 잡느냐에 따라 운동되는 부위가 조금씩 다르다. 그립을 넓게 잡을 경우 이두근 안쪽이 더 발달이 되고, 그립을 좁게 잡을 경우에는 이두근 바깥쪽을 단련하는 데 더 집중할 수 있다.덤벨을 이용한 운동에는 덤벨 컬, 해머 컬, 컨센트레이션 컬, 컬 프레스, 인클라인 컬, 프리쳐 컬 등이 있고, 근육의 데피니션(definition, 선명도)을 강화하는 케이블 컬 등이 있다. 이두근은 일상생활에서 가장 많이 사용을 하는 근육이므로 운동을 통해 단련해 둘 필요가 있다. 이 운동법은 성별에 상관없이 누구나 쉽게 할 수 있다.",,,,,위팔 앞
,,,,,,
암 워킹,근력 운동과 유산소 운동 효과를 동시에 얻을 수 있는 전신 운동이다. 특히 체지방 연소에 탁월하여 고도 비만자들에게 추천하는 동작이다. 자신의 체중을 이용한 근력 운동으로 쉽고 안전하게 실시할 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110906992_3CGIC69IQ.jpg/WEIGHT_130_pic_1.jpg?type=w492_fst&wm=N,중급,,전신
,,,,,,
하드 클린,"빠른 시간 안에 전신 근력을 키워주는 운동법으로 운동선수들의 트레이닝에 많이 쓰인다. 전신 근지구력을 향상시켜주고, 상체와 하체의 모든 근력을 발달에도 큰 도움이 된다. 전신 운동인만큼 칼로리 소모도 매우 효과적이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110835501_HRUFU3087.jpg/WEIGHT_127_pic_1.jpg?type=w492_fst&wm=N,중급,,전신
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
제자리 점프,"집에서 가볍게 할 수 있는 간단한 유산소성 근력 운동이다. 양손을 머리 위로 쭉 펴는 동작으로 구부정한 자세를 바로 잡아주며, 줄넘기 효과도 볼 수 있다. 무릎관절에 자극을 주어 성장기 어린이들의 키크기 운동으로도 권장한다. 다리에 긴장감을 유지하면서 착지하면 더욱 많은 칼로리를 소모시킬 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110854896_UQJDF10B8.jpg/WEIGHT_128_pic_1.jpg?type=w492_fst&wm=N,초급,,전신
,,,,,,
,,,,,,
,,,,,,
사이드 크런치,외복사근을 발달시킬 수 있는 운동이다. 복사근 중 외복사근에만 선택적으로 집중할 수 있는 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140526034_D8B9RD805.jpg/WEIGHT_097_pic_1.jpg?type=w492_fst&wm=N,중급,,복부
,,,,,,
이지 클린,"근육을 강화함과 동시에 유산소 운동 효과까지 볼 수 있는 상체 유산소성 근력 운동이다. 누구나 쉽게 따라 할 수 있는 동작으로, 특히 상체 근력이 약한 분들에게 추천한다. 동작을 반복하여 상체 근력을 전반적으로 늘려준 다음에 상체 부위별 근육 운동을 실시하면 매우 효과적이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110949260_8GCRWSAX2.jpg/WEIGHT_134_pic_1.jpg?type=w492_fst&wm=N,중급,,어깨
,,,,,,
컬 프레스 - 덤벨,덤벨 컬과 덤벨 숄더 프레스 운동을 결합한 형태의 운동으로 상완과 어깨근육이 동원되어 이루어지는 복합 운동이다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140321354_7IM21JQ28.jpg/WEIGHT_047_pic_1.jpg?type=w492_fst&wm=N,중급,,위팔 앞
,,,,,,
오블리크 크런치,내복사근과 외복사근을 발달시킬 수 있는 운동이다. 발을 붙이고 무릎을 90도 정도 구부린 기본적인 크런치 자세에서 무릎을 한 방향으로 넘겨 바닥에 붙인 상태로 크런치와 동일한 방법으로 실시한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140513017_57GWM3S2F.jpg/WEIGHT_092_pic_1.jpg?type=w492_fst&wm=N,중급,,복부
,,,,,,
엉덩이 운동,"엉덩이는 엉덩이 가운데에 위치하며 가장 큰 근육인 대둔근과 위쪽의 중둔근, 소둔근으로 이뤄져 있다. 엉덩이근육은 좌식 생활이 많을수록, 나이가 들수록 점점 약해지기 마련이지만, 따로 운동의 필요성을 느끼지 못하고 넘어가게 된다. 하지만 엉덩이근육을 단련하면 허리가 튼튼해지고, 무릎, 골반의 부상도 예방할 수 있다. 뿐만 아니라 엉덩이근육은 큰 근육이기 때문에 운동한 만큼 많은 칼로리를 소모시켜 다이어트 효과도 크고, 골반을 바로잡아 주어 바른 자세를 유지하는 데도 많은 도움이 된다.엉덩이 운동법에는 힙업에 효과적인 덩키 킥, 엉덩이뿐만 아니라 허리에도 좋은 브릿지, 엉덩이 측면을 강화시키는 사이드 힙 킥, 밴드를 이용하여 엉덩이 라인을 살리고 골반을 강화하는 멀티힙 - 밴드, 엉덩이와 허벅지를 단련하는 볼 워킹 등이 있다.",,,,,엉덩이
,,,,,,
볼 워킹,"짐볼 운동은 다른 기구를 사용했을 때보다 안전하게 운동할 수 있는 장점이 있다. 이 동작은 짐볼을 이용한 후면 근육 운동으로 등, 엉덩이, 허벅지 근육들을 자극하여 탄력적인 엉덩이와 허벅지 라인을 가꿔준다. 음악에 맞춰 실시하면 더욱 재미있게 운동할 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110755854_5PKOF34UZ.jpg/WEIGHT_125_pic_1.jpg?type=w492_fst&wm=N,초급,,엉덩이
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
프리쳐 컬 - 바벨,상완이두근의 완전한 고립 운동을 목적으로 실시한다. 다른 상완이두근 운동에 비해 상완이두근 안쪽 중간 부분을 좀 더 자극시킬 수 있다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140334516_GK97G0JHM.jpg/WEIGHT_053_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
멀티힙 - 밴드,밴드를 이용하여 허벅지 바깥쪽 근육과 엉덩이 근육을 강화하는 운동법이다. 탄력적이고 볼륨 있는 엉덩이 라인을 살리는 데 효과적이다. 특히 골반관절을 튼튼하게 만들어주어 여성들에게 추천된다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110742008_FE3BXPHQQ.jpg/WEIGHT_124_pic_1.jpg?type=w492_fst&wm=N,초급,,엉덩이
,,,,,,
엉덩이 운동,"엉덩이는 엉덩이 가운데에 위치하며 가장 큰 근육인 대둔근과 위쪽의 중둔근, 소둔근으로 이뤄져 있다. 엉덩이근육은 좌식 생활이 많을수록, 나이가 들수록 점점 약해지기 마련이지만, 따로 운동의 필요성을 느끼지 못하고 넘어가게 된다. 하지만 엉덩이근육을 단련하면 허리가 튼튼해지고, 무릎, 골반의 부상도 예방할 수 있다. 뿐만 아니라 엉덩이근육은 큰 근육이기 때문에 운동한 만큼 많은 칼로리를 소모시켜 다이어트 효과도 크고, 골반을 바로잡아 주어 바른 자세를 유지하는 데도 많은 도움이 된다.엉덩이 운동법에는 힙업에 효과적인 덩키 킥, 엉덩이뿐만 아니라 허리에도 좋은 브릿지, 엉덩이 측면을 강화시키는 사이드 힙 킥, 밴드를 이용하여 엉덩이 라인을 살리고 골반을 강화하는 멀티힙 - 밴드, 엉덩이와 허벅지를 단련하는 볼 워킹 등이 있다.",,,,,엉덩이
,,,,,,
볼 워킹,"짐볼 운동은 다른 기구를 사용했을 때보다 안전하게 운동할 수 있는 장점이 있다. 이 동작은 짐볼을 이용한 후면 근육 운동으로 등, 엉덩이, 허벅지 근육들을 자극하여 탄력적인 엉덩이와 허벅지 라인을 가꿔준다. 음악에 맞춰 실시하면 더욱 재미있게 운동할 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110755854_5PKOF34UZ.jpg/WEIGHT_125_pic_1.jpg?type=w492_fst&wm=N,초급,,엉덩이
,,,,,,
사이드 힙 킥,"측면 엉덩이 근육인 중둔근, 소둔근을 발달시켜 군살 없는 힙라인을 만들어준다. 다리를 높이 올릴수록 옆구리의 근육들이 더 강하게 자극되어 보디라인의 탄력을 향상시킬 수 있다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624110729846_HHC1TYOO9.jpg/WEIGHT_123_pic_1.jpg?type=w492_fst&wm=N,초급,,엉덩이
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
양손 다리 모으기,복부를 중심으로 팔다리를 활발히 움직임으로써 여러 근육들을 동시에 사용하는 동작으로 칼로리 소모에 아주 효과적이다. 특히 복부의 지방을 빨리 빼고 싶다면 복부 근력 운동 후에 이 동작을 실시해주면 효과 만점이다. 운동할 시간이 없는 경우에 간편 다이어트 운동으로 추천한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111012274_31UP9LTSO.jpg/WEIGHT_136_pic_1.jpg?type=w492_fst&wm=N,초급,,복부
,,,,,,
,,,,,,
,,,,,,
다리 교차 뛰기,하체 근력을 키우고 칼로리 소모도 높여주는 유산소성 근력 운동이다. 엎드린 상태로 양발을 교차하는 동작은 복부 근육에 자극을 주어 뱃살을 빼는 데도 큰 도움을 준다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111146993_W2UW5WCVF.jpg/WEIGHT_143_pic_1.jpg?type=w492_fst&wm=N,중급,,복부
,,,,,,
,,,,,,
,,,,,,
컬 - 이지바,"직선 형태의 바(bar)에 비해 손목에 가해지는 부담이 적다. 따라서 무거운 중량을 들 때에도 무리 없이 조금 더 집중할 수 있으며, 상완이두근의 크기와 근력 증진에 효과적이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140339778_W0DSHPHQN.jpg/WEIGHT_056_pic_1.jpg?type=w492_fst&wm=N,초급,,위팔 앞
,,,,,,
리버스 트렁크 트위스트,"내·외복사근을 발달시키는 운동이다. 다리를 내릴 때 균형을 잡기 위한 근육들이 동원되며, 운동 강도가 매우 높은 운동으로서 복근이 어느 정도 강해졌을 때 실시하는 것이 효율적이다.",,https://dbscthumb-phinf.pstatic.net/2009_000_1/20120315140517463_BRAWG4BMS.jpg/WEIGHT_094_pic_1.jpg?type=w492_fst&wm=N,상급,,복부
,,,,,,
양손 다리 모으기,복부를 중심으로 팔다리를 활발히 움직임으로써 여러 근육들을 동시에 사용하는 동작으로 칼로리 소모에 아주 효과적이다. 특히 복부의 지방을 빨리 빼고 싶다면 복부 근력 운동 후에 이 동작을 실시해주면 효과 만점이다. 운동할 시간이 없는 경우에 간편 다이어트 운동으로 추천한다.,,https://dbscthumb-phinf.pstatic.net/2009_000_1/20140624111012274_31UP9LTSO.jpg/WEIGHT_136_pic_1.jpg?type=w492_fst&wm=N,초급,,복부
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
